AFRICAN CROWNED CRANE,灰冕鹤
AFRICAN FIREFINCH,灰顶火雀
ALBATROSS,信天翁
ALEXANDRINE PARAKEET,亚历山大鹦鹉
AMERICAN AVOCET,褐胸反嘴鹬
AMERICAN BITTERN,美洲麻鳽
AMERICAN COOT,美洲骨顶
AMERICAN GOLDFINCH,美洲金翅雀
AMERICAN KESTREL,美洲隼
AMERICAN PIPIT,黄腹鹨
AMERICAN REDSTART,橙尾鸲莺
ANHINGA,蛇鹈
ANNAS HUMMINGBIRD,安氏蜂鸟
ANTBIRD,蚁鸟
ARARIPE MANAKIN,阿拉里皮娇鹟
ASIAN CRESTED IBIS,朱鹮
BALD EAGLE,白头海雕
BALD IBIS,秃鹮
BALI STARLING,长冠八哥
BALTIMORE ORIOLE,橙腹拟鹂
BANANAQUIT,蕉林莺
BANDED BROADBILL,斑阔嘴鸟
BANDED PITA,横斑翠鸟
BAR-TAILED GODWIT,斑尾塍鹬
BARN OWL,仓鸮
BARN SWALLOW,家燕
BARRED PUFFBIRD,斑纹蓬头䴕
BAY-BREASTED WARBLER,栗胸林莺
BEARDED BARBET,须拟䴕
BEARDED BELLBIRD,须钟伞鸟
BEARDED REEDLING,文须雀
BELTED KINGFISHER,带翠鸟
BIRD OF PARADISE,极乐鸟
BLACK & YELLOW bROADBILL,黑黄阔嘴鸟
BLACK BAZA,黑冠鹃隼
BLACK FRANCOLIN,黑鹧鸪
BLACK SKIMMER,黑剪嘴鸥
BLACK SWAN,黑天鹅
BLACK TAIL CRAKE,黑尾苦恶鸟
BLACK THROATED BUSHTIT,黑喉山雀
BLACK THROATED WARBLER,黑喉林莺
BLACK VULTURE,黑兀鹫
BLACK-CAPPED CHICKADEE,黑顶山雀
BLACK-NECKED GREBE,黑颈䴙䴘
BLACK-THROATED SPARROW,黑喉麻雀
BLACKBURNIAM WARBLER,橙胸林莺
BLONDE CRESTED WOODPECKER,金冠啄木鸟
BLUE COAU,蓝凤冠雉
BLUE GROUSE,蓝镰翅鸡
BLUE HERON,苍鹭
BLUE THROATED TOUCANET,蓝喉小巨嘴鸟
